@relation nursery

@attribute parents {usual,pretentious,great_pret}
@attribute has_nurs {proper,less_proper,improper,critical,very_crit}
@attribute form {complete,completed,incomplete,foster}
@attribute children {1,2,3,more}
@attribute housing {convenient,less_conv,critical}
@attribute finance {convenient,inconv}
@attribute social {nonprob,slightly_prob,problematic}
@attribute health {recommended,priority,not_recom}
@attribute class {not_recom,very_recom,priority,spec_prior}

@data
great_pret,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,completed,more,less_conv,inconv,slightly_prob,priority,priority
great_pret,proper,completed,3,convenient,convenient,problematic,recommended,priority
usual,less_proper,complete,2,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,foster,2,convenient,convenient,problematic,not_recom,not_recom
usual,very_crit,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
great_pret,very_crit,foster,2,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,1,critical,inconv,nonprob,priority,priority
great_pret,improper,foster,1,less_conv,convenient,problematic,priority,spec_prior
usual,critical,complete,more,convenient,inconv,nonprob,priority,spec_prior
usual,very_crit,foster,1,critical,inconv,nonprob,recommended,spec_prior
usual,less_proper,completed,2,critical,inconv,nonprob,priority,priority
great_pret,improper,incomplete,3,less_conv,convenient,slightly_prob,priority,spec_prior
pretentious,less_proper,incomplete,3,critical,convenient,nonprob,priority,priority
usual,proper,completed,2,convenient,inconv,problematic,recommended,priority
usual,improper,incomplete,more,convenient,convenient,slightly_prob,priority,priority
great_pret,less_proper,incomplete,more,convenient,inconv,nonprob,priority,spec_prior
pretentious,less_proper,completed,1,convenient,inconv,slightly_prob,recommended,very_recom
great_pret,critical,incomplete,1,less_conv,inconv,nonprob,not_recom,not_recom
usual,improper,incomplete,1,critical,inconv,problematic,recommended,priority
pretentious,critical,foster,more,critical,inconv,slightly_prob,priority,spec_prior
usual,less_proper,foster,1,less_conv,inconv,slightly_prob,priority,priority
usual,critical,completed,2,convenient,inconv,nonprob,recommended,priority
usual,very_crit,foster,3,convenient,inconv,nonprob,priority,spec_prior
great_pret,proper,incomplete,2,critical,inconv,nonprob,priority,spec_prior
usual,critical,incomplete,1,convenient,inconv,nonprob,not_recom,not_recom
great_pret,improper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
usual,improper,incomplete,1,less_conv,inconv,problematic,recommended,priority
great_pret,improper,foster,3,convenient,convenient,slightly_prob,priority,spec_prior
pretentious,proper,incomplete,2,convenient,inconv,nonprob,recommended,priority
great_pret,improper,complete,1,less_conv,inconv,nonprob,priority,spec_prior
pretentious,improper,complete,more,convenient,inconv,slightly_prob,recommended,priority
usual,proper,foster,more,critical,convenient,problematic,not_recom,not_recom
great_pret,critical,foster,3,less_conv,inconv,problematic,recommended,spec_prior
usual,proper,incomplete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,proper,complete,more,convenient,convenient,nonprob,recommended,priority
pretentious,improper,foster,2,critical,convenient,slightly_prob,recommended,priority
usual,critical,incomplete,3,less_conv,inconv,slightly_prob,priority,spec_prior
pretentious,very_crit,foster,2,convenient,inconv,nonprob,not_recom,not_recom
great_pret,very_crit,incomplete,1,critical,convenient,problematic,recommended,spec_prior
great_pret,improper,complete,1,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
pretentious,critical,incomplete,1,less_conv,convenient,problematic,recommended,spec_prior
usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
great_pret,critical,incomplete,more,critical,convenient,nonprob,priority,spec_prior
usual,improper,foster,1,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,very_crit,complete,3,convenient,inconv,problematic,recommended,spec_prior
usual,critical,completed,3,critical,inconv,problematic,not_recom,not_recom
pretentious,very_crit,foster,1,critical,inconv,slightly_prob,not_recom,not_recom
great_pret,less_proper,complete,2,convenient,convenient,slightly_prob,recommended,priority
usual,very_crit,foster,1,convenient,convenient,slightly_prob,priority,spec_prior
great_pret,very_crit,completed,1,critical,inconv,problematic,recommended,spec_prior
usual,less_proper,completed,more,less_conv,inconv,problematic,recommended,priority
usual,critical,foster,1,critical,convenient,problematic,recommended,spec_prior
great_pret,improper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
great_pret,very_crit,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
great_pret,very_crit,complete,3,convenient,convenient,nonprob,priority,spec_prior
usual,very_crit,foster,3,convenient,convenient,problematic,priority,spec_prior
usual,critical,complete,2,less_conv,convenient,slightly_prob,priority,priority
pretentious,proper,completed,1,critical,convenient,problematic,priority,priority
usual,critical,complete,1,convenient,convenient,nonprob,not_recom,not_recom
pretentious,very_crit,completed,3,less_conv,inconv,nonprob,recommended,spec_prior
pretentious,very_crit,completed,3,convenient,convenient,nonprob,priority,spec_prior
great_pret,improper,completed,3,critical,convenient,slightly_prob,not_recom,not_recom
usual,very_crit,incomplete,2,critical,inconv,problematic,priority,spec_prior
usual,less_proper,foster,more,convenient,inconv,nonprob,recommended,priority
great_pret,less_proper,complete,2,critical,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,3,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,foster,1,critical,convenient,problematic,recommended,priority
usual,very_crit,complete,more,critical,inconv,nonprob,priority,spec_prior
usual,improper,completed,more,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,improper,foster,2,less_conv,convenient,problematic,priority,spec_prior
usual,improper,incomplete,3,less_conv,inconv,problematic,not_recom,not_recom
great_pret,very_crit,incomplete,3,convenient,convenient,problematic,not_recom,not_recom
pretentious,proper,completed,more,critical,inconv,slightly_prob,priority,priority
great_pret,very_crit,incomplete,2,critical,convenient,problematic,recommended,spec_prior
pretentious,improper,complete,more,critical,inconv,slightly_prob,not_recom,not_recom
great_pret,proper,completed,2,convenient,convenient,slightly_prob,recommended,priority
pretentious,improper,incomplete,1,less_conv,inconv,slightly_prob,recommended,priority
pretentious,less_proper,incomplete,2,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,critical,incomplete,2,less_conv,convenient,nonprob,not_recom,not_recom
great_pret,less_proper,complete,1,critical,inconv,nonprob,recommended,priority
usual,very_crit,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
pretentious,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
usual,critical,foster,more,less_conv,convenient,slightly_prob,priority,spec_prior
usual,critical,incomplete,1,convenient,inconv,slightly_prob,priority,priority
pretentious,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
pretentious,improper,incomplete,more,less_conv,convenient,problematic,recommended,spec_prior
great_pret,proper,incomplete,2,less_conv,convenient,problematic,priority,spec_prior
pretentious,proper,completed,more,critical,convenient,nonprob,recommended,priority
great_pret,proper,foster,3,less_conv,convenient,slightly_prob,recommended,priority
usual,very_crit,complete,more,critical,convenient,problematic,not_recom,not_recom
great_pret,proper,complete,more,less_conv,convenient,slightly_prob,recommended,priority
pretentious,proper,complete,more,convenient,convenient,problematic,not_recom,not_recom
great_pret,less_proper,incomplete,1,less_conv,inconv,slightly_prob,priority,priority
usual,critical,complete,more,convenient,inconv,slightly_prob,priority,spec_prior
usual,less_proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,proper,foster,more,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
